trade_id,side,pivot1_time,pivot2_time,confirm_time,entry_time,entry_price,stop_price,target_price,pivot1_price,pivot2_price,stoch_p1,stoch_p2,channel_state_p1,channel_state_p2,exit_reason,valid_time_order,valid_price_divergence,valid_osc_divergence,valid_channel_state,valid_trigger_break,valid_stop_structure,valid_target_rr,valid_all
0,long,2024-01-07 02:00:00+00:00,2024-01-07 02:35:00+00:00,2024-01-07 02:50:00+00:00,2024-01-07 03:10:00+00:00,44008.45,43833.4,44358.55,43960.0,43833.4,8.5,33.2,inside_or_below_high,below_channel,target,True,True,True,True,True,True,True,True
1,long,2024-01-07 15:45:00+00:00,2024-01-07 17:00:00+00:00,2024-01-07 17:15:00+00:00,2024-01-07 17:20:00+00:00,43946.91,43700.0,44440.73,43945.15,43700.0,7.4,20.2,inside_or_below_high,below_channel,stop,True,True,True,True,True,True,True,True
2,long,2024-01-08 07:35:00+00:00,2024-01-08 09:55:00+00:00,2024-01-08 10:10:00+00:00,2024-01-08 10:15:00+00:00,43738.0,43641.73,43930.54,43784.86,43641.73,16.8,21.1,inside_or_below_high,below_channel,target,True,True,True,True,True,True,True,True
3,short,2024-01-10 02:25:00+00:00,2024-01-10 03:15:00+00:00,2024-01-10 03:30:00+00:00,2024-01-10 03:35:00+00:00,46136.01,46211.95,45984.13,46082.87,46211.95,95.8,90.0,inside_or_above_low,above_channel,target,True,True,True,True,True,True,True,True
4,short,2024-01-12 09:50:00+00:00,2024-01-12 11:00:00+00:00,2024-01-12 11:15:00+00:00,2024-01-12 11:20:00+00:00,46054.31,46135.88,45891.17,46076.34,46135.88,90.8,87.2,inside_or_above_low,above_channel,stop,True,True,True,True,True,True,True,True
5,long,2024-01-12 12:05:00+00:00,2024-01-12 12:45:00+00:00,2024-01-12 13:00:00+00:00,2024-01-12 13:05:00+00:00,45856.0,45667.47,46233.06,45921.37,45667.47,6.3,9.6,inside_or_below_high,below_channel,stop,True,True,True,True,True,True,True,True
6,long,2024-01-13 09:20:00+00:00,2024-01-13 10:10:00+00:00,2024-01-13 10:25:00+00:00,2024-01-13 10:30:00+00:00,42749.44,42627.63,42993.06,42887.0,42627.63,6.1,10.3,inside_or_below_high,below_channel,stop,True,True,True,True,True,True,True,True
7,long,2024-01-16 10:30:00+00:00,2024-01-16 11:35:00+00:00,2024-01-16 11:50:00+00:00,2024-01-16 11:55:00+00:00,42820.0,42753.55,42952.9,42851.45,42753.55,5.5,13.4,inside_or_below_high,below_channel,target,True,True,True,True,True,True,True,True
8,short,2024-01-16 15:35:00+00:00,2024-01-16 16:00:00+00:00,2024-01-16 16:15:00+00:00,2024-01-16 16:20:00+00:00,43209.7,43434.0,42761.1,43314.73,43434.0,94.9,88.2,inside_or_above_low,above_channel,stop,True,True,True,True,True,True,True,True
9,short,2024-01-17 09:15:00+00:00,2024-01-17 10:40:00+00:00,2024-01-17 10:55:00+00:00,2024-01-17 11:15:00+00:00,42760.0,42850.55,42578.9,42830.0,42850.55,93.5,67.8,inside_or_above_low,above_channel,target,True,True,True,True,True,True,True,True
10,long,2024-01-18 08:50:00+00:00,2024-01-18 09:15:00+00:00,2024-01-18 09:30:00+00:00,2024-01-18 09:35:00+00:00,42799.5,42709.61,42979.28,42724.0,42709.61,7.2,24.6,inside_or_below_high,below_channel,stop,True,True,True,True,True,True,True,True
11,short,2024-01-18 13:45:00+00:00,2024-01-18 15:15:00+00:00,2024-01-18 15:30:00+00:00,2024-01-18 15:35:00+00:00,42708.0,42810.0,42504.0,42657.16,42810.0,87.0,82.6,inside_or_above_low,above_channel,target,True,True,True,True,True,True,True,True
12,short,2024-01-19 04:20:00+00:00,2024-01-19 07:00:00+00:00,2024-01-19 07:15:00+00:00,2024-01-19 07:20:00+00:00,41462.84,41576.0,41236.52,41225.0,41576.0,89.1,86.5,inside_or_above_low,above_channel,target,True,True,True,True,True,True,True,True
13,short,2024-01-22 06:05:00+00:00,2024-01-22 06:40:00+00:00,2024-01-22 06:55:00+00:00,2024-01-22 07:00:00+00:00,41232.2,41321.17,41054.26,41182.63,41321.17,91.6,81.0,inside_or_above_low,above_channel,target,True,True,True,True,True,True,True,True
14,long,2024-01-24 02:00:00+00:00,2024-01-24 03:35:00+00:00,2024-01-24 03:50:00+00:00,2024-01-24 03:55:00+00:00,39600.0,39570.43,39659.14,39701.34,39570.43,5.5,8.8,inside_or_below_high,below_channel,stop,True,True,True,True,True,True,True,True
15,long,2024-01-29 11:50:00+00:00,2024-01-29 12:45:00+00:00,2024-01-29 13:00:00+00:00,2024-01-29 13:10:00+00:00,42097.25,41975.0,42341.75,42191.1,41975.0,7.0,12.5,inside_or_below_high,below_channel,stop,True,True,True,True,True,True,True,True
16,long,2024-01-30 12:45:00+00:00,2024-01-30 13:15:00+00:00,2024-01-30 13:30:00+00:00,2024-01-30 13:55:00+00:00,43300.0,43153.06,43593.88,43257.39,43153.06,14.9,15.0,inside_or_below_high,below_channel,stop,True,True,True,True,True,True,True,True
17,short,2024-01-30 14:30:00+00:00,2024-01-30 15:25:00+00:00,2024-01-30 15:40:00+00:00,2024-01-30 15:45:00+00:00,43496.78,43622.0,43246.34,43498.0,43622.0,86.5,86.2,inside_or_above_low,above_channel,target,True,True,True,True,True,True,True,True
18,long,2024-01-31 08:15:00+00:00,2024-01-31 09:30:00+00:00,2024-01-31 09:45:00+00:00,2024-01-31 09:50:00+00:00,42844.0,42759.0,43014.0,42938.35,42759.0,12.4,13.4,inside_or_below_high,below_channel,stop,True,True,True,True,True,True,True,True
19,short,2024-01-31 12:25:00+00:00,2024-01-31 13:35:00+00:00,2024-01-31 13:50:00+00:00,2024-01-31 14:00:00+00:00,42717.77,42925.52,42302.27,42729.36,42925.52,85.6,57.7,inside_or_above_low,above_channel,stop,True,True,True,True,True,True,True,True
20,long,2024-01-31 19:30:00+00:00,2024-01-31 20:05:00+00:00,2024-01-31 20:20:00+00:00,2024-01-31 20:25:00+00:00,43079.25,42715.6,43806.55,43041.1,42715.6,16.1,28.1,inside_or_below_high,below_channel,stop,True,True,True,True,True,True,True,True
21,short,2024-02-04 00:55:00+00:00,2024-02-04 02:15:00+00:00,2024-02-04 02:30:00+00:00,2024-02-04 02:35:00+00:00,43043.96,43068.79,42994.3,43017.44,43068.79,80.5,80.4,inside_or_above_low,above_channel,target,True,True,True,True,True,True,True,True
22,long,2024-02-06 10:15:00+00:00,2024-02-06 10:45:00+00:00,2024-02-06 11:00:00+00:00,2024-02-06 11:25:00+00:00,42849.58,42670.61,43207.52,42902.28,42670.61,11.0,41.3,inside_or_below_high,below_channel,stop,True,True,True,True,True,True,True,True
23,short,2024-02-07 05:20:00+00:00,2024-02-07 05:50:00+00:00,2024-02-07 06:05:00+00:00,2024-02-07 06:10:00+00:00,43020.13,43051.1,42958.19,43009.96,43051.1,93.8,85.4,inside_or_above_low,above_channel,target,True,True,True,True,True,True,True,True
24,long,2024-02-08 04:15:00+00:00,2024-02-08 04:55:00+00:00,2024-02-08 05:10:00+00:00,2024-02-08 05:15:00+00:00,44510.0,44480.53,44568.94,44525.03,44480.53,9.9,13.7,inside_or_below_high,below_channel,target,True,True,True,True,True,True,True,True
25,long,2024-02-08 21:55:00+00:00,2024-02-08 22:35:00+00:00,2024-02-08 22:50:00+00:00,2024-02-08 22:55:00+00:00,45313.99,45227.0,45487.97,45278.07,45227.0,16.4,18.6,inside_or_below_high,below_channel,target,True,True,True,True,True,True,True,True
26,short,2024-02-11 22:25:00+00:00,2024-02-12 00:30:00+00:00,2024-02-12 00:45:00+00:00,2024-02-12 00:50:00+00:00,48521.89,48826.81,47912.05,48230.47,48826.81,90.7,90.7,inside_or_above_low,above_channel,target,True,True,True,True,True,True,True,True
