cost_mode,k_period,smooth,d_period,min_separation,max_separation,total_periods,positive_periods,positive_ratio,total_return_sum,avg_quarter_return,median_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,median_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,is_current_baseline,batch1_score
cost,14,1,3,8,40,8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,False,0.3860123543702166
cost,14,1,3,3,30,8,5,0.625,10.067997999999946,1.2584997499999933,0.043411999999976025,-1.172323999999969,235,21,29.375,1.5074708976430538,1.0127172278861027,0.6514778369057977,-3.009743770160185,135,100,False,0.3491389320075835
cost,14,1,3,5,30,8,5,0.625,10.067997999999946,1.2584997499999933,0.043411999999976025,-1.172323999999969,235,21,29.375,1.5074708976430538,1.0127172278861027,0.6514778369057977,-3.009743770160185,135,100,False,0.3491389320075835
cost,9,1,3,8,40,8,4,0.5,12.757373999999931,1.5946717499999914,0.6651050000000158,-1.4075960000000443,209,23,26.125,1.7491153310151828,1.2788646219786646,0.6037329609756324,-2.5140556323714285,118,91,False,0.34687495932792706
cost,9,1,3,3,30,8,4,0.5,12.483355999999901,1.5604194999999876,0.14133200000001067,-0.7897360000000297,245,23,30.625,1.5923682274070834,1.053738401451906,0.7196764197456237,-2.0461333801363986,136,109,False,0.34498738625949676
cost,9,1,3,5,30,8,4,0.5,12.483355999999901,1.5604194999999876,0.14133200000001067,-0.7897360000000297,245,23,30.625,1.5923682274070834,1.053738401451906,0.7196764197456237,-2.0461333801363986,136,109,False,0.34498738625949676
cost,14,1,3,3,20,8,5,0.625,7.274520000000051,0.9093150000000064,0.3286509999999798,-1.7550779999999766,205,20,25.625,1.4826044758468475,1.118744327099194,0.5459423799323256,-2.8382249676747753,120,85,True,0.3340562441512617
cost,14,1,3,5,20,8,5,0.625,7.274520000000051,0.9093150000000064,0.3286509999999798,-1.7550779999999766,205,20,25.625,1.4826044758468475,1.118744327099194,0.5459423799323256,-2.8382249676747753,120,85,False,0.3340562441512617
cost,9,1,3,5,20,8,3,0.375,11.537825999999962,1.4422282499999952,-0.23273900000001513,-0.6740619999999864,212,22,26.5,1.7166987743422029,0.9097661939160949,0.8047566634418781,-2.2946832693637713,118,94,False,0.32481863640796627
cost,9,1,3,3,20,8,3,0.375,11.537825999999962,1.4422282499999952,-0.23273900000001513,-0.6740619999999864,212,22,26.5,1.7166987743422029,0.9097661939160949,0.8047566634418781,-2.2946832693637713,118,94,False,0.32481863640796627
cost,9,1,3,3,15,8,3,0.375,10.14923999999996,1.268654999999995,-0.24168700000001264,-0.6591019999999115,176,17,22.0,1.9697495032237744,0.9004953114470334,0.7974973664563143,-2.451096557497693,98,78,False,0.31619153703195274
cost,14,1,3,3,15,8,4,0.5,4.828880000000013,0.6036100000000016,0.009272999999992981,-1.8927379999999827,173,16,21.625,1.476727306419035,0.9791096215669468,0.4919260627275008,-3.441504649137118,101,72,False,0.2744141845843662
cost,40,4,4,3,15,8,1,0.125,-0.0647959999999781,-0.008099499999997262,0.0,-0.15793000000000612,3,0,0.375,0.0,0.0,0.0,-0.21006529493792447,3,0,False,-9999.0
cost,40,4,4,5,30,8,1,0.125,-0.16919599999997148,-0.021149499999996435,0.0,-0.15793000000000612,5,0,0.625,0.09202963543114284,0.0,0.0,-0.5631815927672891,5,0,False,-9999.0
cost,40,4,4,5,20,8,1,0.125,-0.16919599999997148,-0.021149499999996435,0.0,-0.15793000000000612,5,0,0.625,0.09202963543114284,0.0,0.0,-0.5631815927672891,5,0,False,-9999.0
cost,40,4,4,3,30,8,1,0.125,-0.16919599999997148,-0.021149499999996435,0.0,-0.15793000000000612,5,0,0.625,0.09202963543114284,0.0,0.0,-0.5631815927672891,5,0,False,-9999.0
cost,40,4,4,3,20,8,1,0.125,-0.16919599999997148,-0.021149499999996435,0.0,-0.15793000000000612,5,0,0.625,0.09202963543114284,0.0,0.0,-0.5631815927672891,5,0,False,-9999.0
cost,40,1,4,3,15,8,2,0.25,-0.27335199999996007,-0.03416899999999501,0.0,-0.5707159999999822,10,0,1.25,0.2137806337826136,0.0,0.0,-0.6600524148632922,8,2,False,-9999.0
cost,40,1,4,8,40,8,2,0.25,0.30471400000003923,0.038089250000004904,0.0,-0.7576699999999992,6,0,0.75,0.0,0.0,0.0,-0.8013174203350508,4,2,False,-9999.0
cost,40,1,4,5,30,8,3,0.375,0.018058000000054086,0.002257250000006761,0.0,-0.5707159999999822,11,0,1.375,0.2137806337826136,0.0,0.0,-0.6600524148632922,9,2,False,-9999.0
