total_periods,positive_periods,positive_ratio,total_return_sum,avg_quarter_return,median_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,median_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,cost_mode,min_separation,max_separation,batch2_score,trial_id
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,6,41,0.4583217228981872,8
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,5,50,0.4583217228981872,5
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,6,41,0.4583217228981872,60
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,6,40,0.4583217228981872,38
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,5,46,0.4583217228981872,48
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,5,48,0.4583217228981872,3
8,7,0.875,17.02537399999998,2.1281717499999977,1.6574059999999835,-0.3324899999999631,218,21,27.25,1.9675969134515578,1.6998367038243165,0.8695206850272119,-2.8932443673980326,125,93,no-cost,7,41,0.4575396037366762,87
8,7,0.875,17.02537399999998,2.1281717499999977,1.6574059999999835,-0.3324899999999631,218,21,27.25,1.9675969134515578,1.6998367038243165,0.8695206850272119,-2.8932443673980326,125,93,no-cost,7,36,0.4575396037366762,9
8,7,0.875,17.02537399999998,2.1281717499999977,1.6574059999999835,-0.3324899999999631,218,21,27.25,1.9675969134515578,1.6998367038243165,0.8695206850272119,-2.8932443673980326,125,93,no-cost,7,36,0.4575396037366762,27
8,7,0.875,17.02537399999998,2.1281717499999977,1.6574059999999835,-0.3324899999999631,218,21,27.25,1.9675969134515578,1.6998367038243165,0.8695206850272119,-2.8932443673980326,125,93,no-cost,7,48,0.4575396037366762,39
