cost_mode,period,total_return_9_35,total_return_9_42,total_return_equal,total_trades_9_35,total_trades_9_42,total_trades_equal,profit_factor_9_35,profit_factor_9_42,profit_factor_equal,max_drawdown_9_35,max_drawdown_9_42,max_drawdown_equal,all_equal
no-cost,2024-Q1,0.970185999999984,0.970185999999984,True,26,26,True,1.327916204742716,1.327916204742716,True,-2.2294843052680133,-2.2294843052680133,True,True
no-cost,2024-Q2,-0.11950599999996925,-0.11950599999996925,True,23,23,True,0.943112968639937,0.943112968639937,True,-1.2770900798284668,-1.2770900798284668,True,True
no-cost,2024-Q3,0.7468579999999836,0.7468579999999836,True,18,18,True,1.6270321551506937,1.6270321551506937,True,-0.6045845030728425,-0.6045845030728425,True,True
no-cost,2024-Q4,3.982475999999968,3.982475999999968,True,22,22,True,3.071627505344896,3.071627505344896,True,-0.7604283703581857,-0.7604283703581857,True,True
no-cost,2025-Q1,1.2536860000000205,1.2536860000000205,True,26,26,True,1.3409516401868997,1.3409516401868997,True,-1.9260738507853945,-1.9260738507853945,True,True
no-cost,2025-Q2,3.9458100000000274,3.9458100000000274,True,23,23,True,3.37289144671562,3.37289144671562,True,-0.668755350183936,-0.668755350183936,True,True
no-cost,2025-Q3,1.2519460000000038,1.2519460000000038,True,30,30,True,1.4253227428385065,1.4253227428385065,True,-1.0949542251594322,-1.0949542251594322,True,True
no-cost,2025-Q4,3.2734740000000206,3.2734740000000206,True,19,19,True,2.317431200045108,2.317431200045108,True,-1.693068725289866,-1.693068725289866,True,True
cost,2024-Q1,0.45018599999999687,0.45018599999999687,True,26,26,True,1.1356537617819311,1.1356537617819311,True,-2.6682264652021224,-2.6682264652021224,True,True
cost,2024-Q2,-0.579505999999963,-0.579505999999963,True,23,23,True,0.7565878122952462,0.7565878122952462,True,-1.5119399344589883,-1.5119399344589883,True,True
cost,2024-Q3,0.38685800000000103,0.38685800000000103,True,18,18,True,1.2863281770409207,1.2863281770409207,True,-0.6410978544728343,-0.6410978544728343,True,True
cost,2024-Q4,3.542475999999972,3.542475999999972,True,22,22,True,2.7011587646886386,2.7011587646886386,True,-0.7826841710356749,-0.7826841710356749,True,True
cost,2025-Q1,0.7336860000000334,0.7336860000000334,True,26,26,True,1.1863556700245446,1.1863556700245446,True,-2.0047045578026803,-2.0047045578026803,True,True
cost,2025-Q2,3.4858100000000336,3.4858100000000336,True,23,23,True,2.8915116096089295,2.8915116096089295,True,-0.671402084283953,-0.671402084283953,True,True
cost,2025-Q3,0.6519460000000032,0.6519460000000032,True,30,30,True,1.2009995313733224,1.2009995313733224,True,-1.1868693182359054,-1.1868693182359054,True,True
cost,2025-Q4,2.8934740000000403,2.8934740000000403,True,19,19,True,2.1023849981331764,2.1023849981331764,True,-1.716448497899153,-1.716448497899153,True,True
