cost_mode,min_separation,result_signature,equivalent_max_separation_values,count,score,total_trades_sum,avg_profit_factor,min_profit_factor,positive_ratio
cost,5,ea2707b48f3e66b7,"35,40,45,50",4,0.3699438740445635,238,1.628782601519973,0.723238695484149,0.625
cost,6,ea2707b48f3e66b7,"35,40,45,50",4,0.3699438740445635,238,1.628782601519973,0.723238695484149,0.625
cost,7,2907d82af8ac7c18,"35,40,45,50",4,0.3947222132970936,218,1.6876406154015582,0.6979142863078426,0.75
cost,8,34703a4489c13e7c,"35,40,45,50",4,0.3860123543702166,203,1.6515870746186376,0.6236554002119066,0.75
cost,9,a5eddc6a75393dd6,"35,40,45,50",4,0.4081719946967166,187,1.6576225406183385,0.7565878122952462,0.875
cost,10,dea4ebe7060f1177,"35,40,45,50",4,0.38324480184612475,163,1.665930552580586,0.7635955899515503,0.875
cost,11,ae1faa1ba3fac175,"35,40,45,50",4,0.38271082951194196,143,1.8997833416243886,0.7631492369244663,0.875
cost,12,412710a2a28bb9cd,"35,40,45,50",4,0.37202873727148844,119,1.9648036738410275,0.6876171840028823,0.875
no-cost,5,a3dbe07b60dec27e,"35,40,45,50",4,0.4583217228981872,238,1.8891021954298126,0.8957864396554739,0.875
no-cost,6,a3dbe07b60dec27e,"35,40,45,50",4,0.4583217228981872,238,1.8891021954298126,0.8957864396554739,0.875
no-cost,7,5c791521e0c49a14,"35,40,45,50",4,0.4575396037366762,218,1.9675969134515578,0.8695206850272119,0.875
no-cost,8,0ef190f059a8a570,"35,40,45,50",4,0.44641122227189944,203,1.9199452016936023,0.7775050819788076,0.875
no-cost,9,2d420a2e8a27bf9c,"35,40,45,50",4,0.44538487136715993,187,1.9282857329580472,0.943112968639937,0.875
no-cost,10,d61ca12a16e06935,"35,40,45,50",4,0.4199656221010842,163,1.96496624946507,0.9498464943039467,0.875
no-cost,11,d8f7db7b82f26c7d,"35,40,45,50",4,0.41873612120171266,143,2.2295867226234973,0.9435125683188359,0.875
no-cost,12,3873deb084840552,"35,40,45,50",4,0.40708274803952116,119,2.318529904524033,0.863780369711972,0.875
