total_periods,positive_periods,positive_ratio,total_return_sum,avg_quarter_return,median_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,median_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,cost_mode,min_separation,max_separation,is_baseline_current,is_baseline_batch1,is_candidate_tpe,is_candidate_wide_simple,batch2b_score
8,5,0.625,11.374520000000011,1.4218150000000014,0.8786509999999748,-1.1950779999999828,205,20,25.625,1.7198025795464615,1.3908124521674377,0.6590673604692348,-2.6974912078006383,120,85,no-cost,3,20,True,False,False,False,0.36651981735708933
8,7,0.875,13.949604000000004,1.7437005000000005,0.6381759999999792,-0.8488639999999714,219,21,27.375,1.7787264580740345,1.2084300906783385,0.7094036171181569,-2.6075572285303923,127,92,no-cost,5,25,False,False,False,False,0.43158569644577605
8,7,0.875,14.767997999999938,1.8459997499999923,0.7134119999999688,-0.5723239999999685,235,21,29.375,1.7524485636280798,1.218161374868525,0.8081831283306087,-2.887751891904439,135,100,no-cost,5,30,False,False,False,False,0.4358909863551059
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,5,35,False,False,False,False,0.4583217228981872
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,5,40,False,False,False,False,0.4583217228981872
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,5,45,False,False,False,False,0.4583217228981872
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,5,50,False,False,False,False,0.4583217228981872
8,7,0.875,13.949604000000004,1.7437005000000005,0.6381759999999792,-0.8488639999999714,219,21,27.375,1.7787264580740345,1.2084300906783385,0.7094036171181569,-2.6075572285303923,127,92,no-cost,6,25,False,False,False,False,0.43158569644577605
8,7,0.875,14.767997999999938,1.8459997499999923,0.7134119999999688,-0.5723239999999685,235,21,29.375,1.7524485636280798,1.218161374868525,0.8081831283306087,-2.887751891904439,135,100,no-cost,6,30,False,False,False,False,0.4358909863551059
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,6,35,False,False,False,False,0.4583217228981872
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,6,40,False,False,False,False,0.4583217228981872
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,6,45,False,False,False,False,0.4583217228981872
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,6,50,False,False,False,False,0.4583217228981872
8,7,0.875,12.981934000000017,1.622741750000002,0.735304999999975,-0.8704119999999871,199,20,24.875,1.85341883794524,1.392895974948292,0.6498223790347011,-2.612524789909082,116,83,no-cost,7,25,False,False,False,False,0.4292834656091048
8,7,0.875,13.800327999999995,1.7250409999999994,0.8296589999999826,-0.5938719999999398,215,20,26.875,1.8274971908950504,1.3996264522495983,0.7669463390131313,-2.8932443673980326,124,91,no-cost,7,30,False,False,False,False,0.4343377212682877
8,7,0.875,17.02537399999998,2.1281717499999977,1.6574059999999835,-0.3324899999999631,218,21,27.25,1.9675969134515578,1.6998367038243165,0.8695206850272119,-2.8932443673980326,125,93,no-cost,7,35,False,False,False,False,0.4575396037366762
8,7,0.875,17.02537399999998,2.1281717499999977,1.6574059999999835,-0.3324899999999631,218,21,27.25,1.9675969134515578,1.6998367038243165,0.8695206850272119,-2.8932443673980326,125,93,no-cost,7,40,False,False,False,False,0.4575396037366762
8,7,0.875,17.02537399999998,2.1281717499999977,1.6574059999999835,-0.3324899999999631,218,21,27.25,1.9675969134515578,1.6998367038243165,0.8695206850272119,-2.8932443673980326,125,93,no-cost,7,45,False,False,False,False,0.4575396037366762
8,7,0.875,17.02537399999998,2.1281717499999977,1.6574059999999835,-0.3324899999999631,218,21,27.25,1.9675969134515578,1.6998367038243165,0.8695206850272119,-2.8932443673980326,125,93,no-cost,7,50,False,False,False,False,0.4575396037366762
8,7,0.875,11.628834000000133,1.4536042500000166,0.7518680000000222,-1.1048879999999817,184,19,23.0,1.7957541190092594,1.3461532450945408,0.5554897551123937,-2.610905269299301,106,78,no-cost,8,25,False,False,False,False,0.4125608973084627
8,6,0.75,12.447228000000088,1.555903500000011,0.8923190000000081,-0.8283479999999455,200,19,25.0,1.7781079613995625,1.388611345669719,0.674930735964727,-2.891453718386666,114,86,no-cost,8,30,False,False,False,False,0.3931224639166343
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,35,False,False,False,False,0.44641122227189944
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,40,False,True,False,False,0.44641122227189944
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,45,False,False,False,False,0.44641122227189944
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,50,False,False,False,False,0.44641122227189944
8,6,0.75,11.26149000000014,1.4076862500000176,1.2207290000000648,-0.8740160000000219,168,18,21.0,1.7806556341994966,1.5540753922888668,0.6774420190661312,-1.7837477359293918,96,72,no-cost,9,25,False,False,False,False,0.3894423112929737
8,6,0.75,12.079884000000085,1.5099855000000106,1.2528160000000121,-1.0044460000000144,184,18,23.0,1.7795510960544787,1.5261774489946,0.6605041505556561,-1.9260738507853945,104,80,no-cost,9,30,False,False,False,False,0.39106691657102355
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,35,False,False,False,True,0.44538487136715993
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,40,False,False,False,False,0.44538487136715993
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,42,False,False,True,False,0.44538487136715993
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,45,False,False,False,False,0.44538487136715993
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,50,False,False,False,False,0.44538487136715993
8,6,0.75,7.800724000000181,0.9750905000000226,1.1524370000000173,-0.7826760000000266,144,14,18.0,1.7701839254241674,1.5923076142324168,0.6593314075235569,-1.8388946936129875,80,64,no-cost,10,25,False,False,False,False,0.35494069410408635
8,6,0.75,8.619118000000082,1.0773897500000102,1.0584000000000149,-0.9131060000000191,160,14,20.0,1.8121540531522125,1.5757565608934434,0.6815450074983379,-1.9260738507853945,88,72,no-cost,10,30,False,False,False,False,0.3605608262036175
8,7,0.875,11.844164000000069,1.4805205000000086,1.2172710000000198,-0.09654599999994185,163,15,20.375,1.96496624946507,1.642902383305859,0.9498464943039467,-2.138433028865489,89,74,no-cost,10,35,False,False,False,False,0.4199656221010842
8,7,0.875,11.844164000000069,1.4805205000000086,1.2172710000000198,-0.09654599999994185,163,15,20.375,1.96496624946507,1.642902383305859,0.9498464943039467,-2.138433028865489,89,74,no-cost,10,40,False,False,False,False,0.4199656221010842
8,7,0.875,11.844164000000069,1.4805205000000086,1.2172710000000198,-0.09654599999994185,163,15,20.375,1.96496624946507,1.642902383305859,0.9498464943039467,-2.138433028865489,89,74,no-cost,10,45,False,False,False,False,0.4199656221010842
8,7,0.875,11.844164000000069,1.4805205000000086,1.2172710000000198,-0.09654599999994185,163,15,20.375,1.96496624946507,1.642902383305859,0.9498464943039467,-2.138433028865489,89,74,no-cost,10,50,False,False,False,False,0.4199656221010842
8,6,0.75,8.196734000000095,1.024591750000012,0.9455710000000228,-0.9215560000000234,124,12,15.5,2.099785223989209,1.6802613561756283,0.5936701940035236,-1.8311374631045276,67,57,no-cost,11,25,False,False,False,False,0.36031813414407915
8,6,0.75,9.01512800000005,1.1268910000000063,0.8372069999999954,-1.0519860000000159,140,12,17.5,2.0577790112716627,1.6764643976865237,0.5613855730623765,-1.9611551769339677,75,65,no-cost,11,30,False,False,False,False,0.3593453276014086
8,7,0.875,12.240174000000037,1.5300217500000046,1.0517510000000008,-0.09642799999995955,143,12,17.875,2.2295867226234973,1.7996402945563066,0.9435125683188359,-2.276874032443149,76,67,no-cost,11,35,False,False,False,False,0.41873612120171266
8,7,0.875,12.240174000000037,1.5300217500000046,1.0517510000000008,-0.09642799999995955,143,12,17.875,2.2295867226234973,1.7996402945563066,0.9435125683188359,-2.276874032443149,76,67,no-cost,11,40,False,False,False,False,0.41873612120171266
8,7,0.875,12.240174000000037,1.5300217500000046,1.0517510000000008,-0.09642799999995955,143,12,17.875,2.2295867226234973,1.7996402945563066,0.9435125683188359,-2.276874032443149,76,67,no-cost,11,45,False,False,False,False,0.41873612120171266
8,7,0.875,12.240174000000037,1.5300217500000046,1.0517510000000008,-0.09642799999995955,143,12,17.875,2.2295867226234973,1.7996402945563066,0.9435125683188359,-2.276874032443149,76,67,no-cost,11,50,False,False,False,False,0.41873612120171266
8,6,0.75,7.207278000000084,0.9009097500000105,0.9067960000000208,-0.7612060000000476,100,9,12.5,2.1364297831329946,1.8375628541056623,0.4501774915038782,-1.671294325693282,58,42,no-cost,12,25,False,False,False,False,0.33849940968833875
8,6,0.75,8.025672000000029,1.0032090000000036,0.7984319999999934,-0.8916360000000401,116,9,14.5,2.1077431797279,1.6807966275750004,0.6016067343437209,-1.801312039522722,66,50,no-cost,12,30,False,False,False,False,0.34554113816253035
8,7,0.875,11.250718000000026,1.4063397500000032,1.319247999999984,-0.1884979999999481,119,10,14.875,2.318529904524033,1.9407039252985983,0.863780369711972,-2.1170308950319034,67,52,no-cost,12,35,False,False,False,False,0.40708274803952116
8,7,0.875,11.250718000000026,1.4063397500000032,1.319247999999984,-0.1884979999999481,119,10,14.875,2.318529904524033,1.9407039252985983,0.863780369711972,-2.1170308950319034,67,52,no-cost,12,40,False,False,False,False,0.40708274803952116
8,7,0.875,11.250718000000026,1.4063397500000032,1.319247999999984,-0.1884979999999481,119,10,14.875,2.318529904524033,1.9407039252985983,0.863780369711972,-2.1170308950319034,67,52,no-cost,12,45,False,False,False,False,0.40708274803952116
8,7,0.875,11.250718000000026,1.4063397500000032,1.319247999999984,-0.1884979999999481,119,10,14.875,2.318529904524033,1.9407039252985983,0.863780369711972,-2.1170308950319034,67,52,no-cost,12,50,False,False,False,False,0.40708274803952116
8,5,0.625,7.274520000000051,0.9093150000000064,0.3286509999999798,-1.7550779999999766,205,20,25.625,1.4826044758468475,1.118744327099194,0.5459423799323256,-2.8382249676747753,120,85,cost,3,20,True,False,False,False,0.3340562441512617
8,4,0.5,9.56960400000003,1.1962005000000038,0.03730700000001419,-1.3888639999999675,219,21,27.375,1.536977984812043,1.019160274397815,0.5767091014930971,-2.7087154543071286,127,92,cost,5,25,False,False,False,False,0.32225970102879054
8,5,0.625,10.067997999999946,1.2584997499999933,0.043411999999976025,-1.172323999999969,235,21,29.375,1.5074708976430538,1.0127172278861027,0.6514778369057977,-3.009743770160185,135,100,cost,5,30,False,False,False,False,0.3491389320075835
