total_periods,positive_periods,positive_ratio,total_return_sum,avg_quarter_return,median_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,median_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,cost_mode,min_separation,max_separation,is_baseline_current,is_baseline_batch1,is_candidate_tpe,is_candidate_wide_simple,batch2b_score
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,5,35,False,False,False,False,0.4583217228981872
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,5,40,False,False,False,False,0.4583217228981872
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,5,45,False,False,False,False,0.4583217228981872
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,5,50,False,False,False,False,0.4583217228981872
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,6,35,False,False,False,False,0.4583217228981872
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,6,40,False,False,False,False,0.4583217228981872
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,6,45,False,False,False,False,0.4583217228981872
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,6,50,False,False,False,False,0.4583217228981872
8,7,0.875,17.02537399999998,2.1281717499999977,1.6574059999999835,-0.3324899999999631,218,21,27.25,1.9675969134515578,1.6998367038243165,0.8695206850272119,-2.8932443673980326,125,93,no-cost,7,40,False,False,False,False,0.4575396037366762
8,7,0.875,17.02537399999998,2.1281717499999977,1.6574059999999835,-0.3324899999999631,218,21,27.25,1.9675969134515578,1.6998367038243165,0.8695206850272119,-2.8932443673980326,125,93,no-cost,7,35,False,False,False,False,0.4575396037366762
8,7,0.875,17.02537399999998,2.1281717499999977,1.6574059999999835,-0.3324899999999631,218,21,27.25,1.9675969134515578,1.6998367038243165,0.8695206850272119,-2.8932443673980326,125,93,no-cost,7,50,False,False,False,False,0.4575396037366762
8,7,0.875,17.02537399999998,2.1281717499999977,1.6574059999999835,-0.3324899999999631,218,21,27.25,1.9675969134515578,1.6998367038243165,0.8695206850272119,-2.8932443673980326,125,93,no-cost,7,45,False,False,False,False,0.4575396037366762
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,50,False,False,False,False,0.44641122227189944
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,45,False,False,False,False,0.44641122227189944
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,40,False,True,False,False,0.44641122227189944
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,35,False,False,False,False,0.44641122227189944
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,35,False,False,False,True,0.44538487136715993
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,50,False,False,False,False,0.44538487136715993
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,45,False,False,False,False,0.44538487136715993
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,42,False,False,True,False,0.44538487136715993
