ema_period,rr_target,left_bars,right_bars,score,total_return,total_trades,win_rate,profit_factor,max_drawdown,avg_trade,expectancy
34,1.5,2,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2.0,4,4,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2.5,3,3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2.5,2,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2.0,4,4,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2.0,3,3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2.0,2,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1.5,4,4,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1.5,3,3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1.5,2,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2.5,4,4,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2.5,3,3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2.5,2,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2.0,3,3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.5,3,3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2.0,2,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1.5,4,4,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1.5,3,3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1.5,2,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2.5,4,4,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2.5,3,3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2.5,2,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2.0,4,4,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2.0,3,3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2.0,2,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.5,4,4,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2.5,4,4,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
