lookback_bars,min_close_ratio,left_bars,right_bars,full_year_total_return,full_year_total_trades,full_year_win_rate,full_year_profit_factor,full_year_max_drawdown,q_positive_count,q_trade_count_min,q_trade_count_mean,q_profit_factor_mean,q_profit_factor_median,q_profit_factor_min,q_max_drawdown_worst,stability_score
24,0.8,4,3,12.750609999999952,144,0.5486111111111112,2.1806021986853747,-1.1353075131145436,4,30,36.0,2.2495284684603885,1.979625234151046,1.6213234067818114,-1.1593183594960002,0.5615954425624653
24,0.8,2,3,11.831449999999943,133,0.556390977443609,2.1830255144230426,-1.232518377294408,4,29,33.25,2.2730581528564437,2.2124752952118287,1.5544972605936398,-1.2746462559334226,0.560691157748016
16,0.8,4,3,12.714629999999971,144,0.5416666666666666,2.1478581868639277,-1.2086477076208069,4,31,36.0,2.2828374102779962,2.038090170290417,1.6038907239044247,-1.2656843346900815,0.5575145427202121
24,0.8,3,3,11.786579999999924,139,0.539568345323741,2.102627428308415,-1.1353075131145436,4,29,34.75,2.1775103271194283,1.9447964287444788,1.577627901081382,-1.1593183594960002,0.5545772857151304
16,0.7,4,3,14.126019999999917,178,0.5280898876404494,1.9231546409269407,-1.36731725924634,4,41,44.5,1.932234038307816,1.879861150102757,1.7788507413268515,-1.3674968578077593,0.5483037475252037
16,0.8,2,3,11.176049999999972,130,0.5461538461538461,2.080399289661912,-1.3878321812125527,4,26,32.5,2.360939367600607,1.862068286485873,1.397822415858009,-1.4003417131547202,0.5481836976238315
16,0.7,2,3,13.063459999999939,162,0.5308641975308642,1.9381474986247489,-1.3793092631049684,4,38,40.5,1.9935576006642421,1.8398340222209837,1.6370822196331136,-1.380037192996621,0.5452924950614206
16,0.7,4,4,12.211759999999927,145,0.5793103448275863,2.0811995778528507,-1.2239956027001393,4,32,36.25,2.1196217439220932,2.4474404788708384,1.0572212591140129,-1.2693137721170178,0.5452921167709951
16,0.8,3,3,11.309809999999953,136,0.5294117647058824,2.041968736727569,-1.3349473188027596,4,28,34.0,2.217885299119924,1.8998203000477034,1.4150436905537789,-1.399734884419426,0.5434334260720711
16,0.7,3,3,13.048309999999885,168,0.5178571428571429,1.8947279640416728,-1.3295383156950606,4,38,42.0,1.9104883841135165,1.885955717869705,1.6558321523199218,-1.3794451735285878,0.5410855654754669
24,0.7,4,3,16.89505000000009,233,0.5236051502145923,1.8150083623132018,-1.610667467466725,4,51,58.25,1.81375728031621,1.8708697716212686,1.513062619696165,-1.5284353026965456,0.5332211502359808
24,0.7,2,3,15.308860000000069,213,0.5164319248826291,1.7942809587700674,-1.8641537807647923,4,49,53.25,1.793478259713186,1.8332447263545886,1.5233322590361977,-1.6578128600131699,0.5304113363860493
24,0.7,3,3,15.698540000000062,222,0.5135135135135135,1.7851821842098712,-1.7430334444559497,4,49,55.5,1.787755304865008,1.8061460417251645,1.4453766061533042,-1.6571122157704712,0.5270375490189431
24,0.8,4,4,11.122889999999952,118,0.6016949152542372,2.448159089459169,-0.9733375927881418,3,25,29.5,2.5979493174209516,2.9430776376640146,0.9567209692937467,-1.028188258863231,0.5163076253083021
24,0.8,2,4,10.343089999999933,108,0.6111111111111112,2.487737028262868,-1.1611105808753484,3,22,27.0,2.7296801230899597,3.348137616547503,0.7748278426446095,-1.1405838470164906,0.5141509896796215
24,0.8,3,4,10.368819999999923,113,0.5929203539823009,2.369696281188235,-1.1781292093195763,3,23,28.25,2.5373827276151704,2.8684268923272453,0.7518223178905169,-1.2129711048315184,0.5035586988684299
16,0.8,4,4,9.421789999999941,114,0.5701754385964912,2.2001775721530086,-1.2329444243252465,3,26,28.5,2.4865322234223917,2.8683438349218884,0.819792885600078,-1.2716493828072661,0.49227950598091474
16,0.7,2,4,10.991169999999917,132,0.5833333333333334,2.051369073525818,-1.320092492989721,3,27,33.0,2.1982807894509513,2.3683209723912535,0.7409954751131225,-1.3150938842573212,0.4848895151750646
16,0.8,2,4,8.325889999999948,103,0.5728155339805825,2.147330416508759,-1.6371600822834522,3,23,25.75,2.5833686224155232,2.7382151794463967,0.6033932156491538,-1.6434710029578519,0.4818140690762398
16,0.7,3,4,11.016899999999907,137,0.5693430656934306,1.995016293234867,-1.3257976511646221,3,28,34.25,2.055612496077213,2.4236950745992063,0.7239542381498215,-1.3752137764940298,0.47846198606245394
16,0.8,3,4,8.598529999999926,107,0.5607476635514018,2.1272665536585293,-1.652250054846655,3,24,26.75,2.484710497794123,2.8505041460890963,0.5885309217334845,-1.7159328893288999,0.47758912359856687
24,0.7,4,4,11.483489999999996,195,0.5282051282051282,1.6551866971338631,-1.7156393234060276,3,40,48.75,1.6605571037171636,1.7384211743415352,0.9893711630041955,-1.4031832923218193,0.4610655789262356
24,0.7,2,4,9.68814999999994,179,0.5195530726256983,1.5859188132787683,-1.978944547439427,3,35,44.75,1.6063749914982022,1.7664049778076611,0.6866984742575101,-1.8224048188753992,0.44469548532242636
24,0.7,3,4,10.046010000000006,187,0.5187165775401069,1.5811500697367862,-1.9224944688064767,3,36,46.75,1.5822509030647356,1.766791869431328,0.6747422877579557,-1.8948403206456594,0.44356888602437106
