ema_period,lookback_bars,min_close_ratio,left_bars,right_bars,rr_target,total_periods,positive_periods,positive_ratio,total_return_sum,total_trades_sum,avg_quarter_return,median_quarter_return,min_quarter_return,max_quarter_drawdown_worst,avg_profit_factor,median_profit_factor,min_profit_factor,min_trades_per_period,avg_trades_per_period,long_trades_total,short_trades_total,plateau_score
50,24,0.75,4,3,2.2,8,8,1.0,35.912660000000194,337,4.489082500000024,4.639577000000106,0.9868939999999604,-1.7395175883447893,2.1761063506922693,2.12874185027363,1.267911989466966,32,42.125,172,165,0.585496684171569
50,28,0.75,4,3,2.2,8,8,1.0,34.572094000000256,351,4.321511750000032,3.964411999999984,2.0008779999999726,-1.80361379354324,2.0121041255830563,2.0270630101374376,1.5219079467202543,31,43.875,176,175,0.5821088076802478
50,28,0.75,4,3,2.4,8,8,1.0,33.43695200000021,351,4.179619000000026,3.8805730000000205,2.558385999999979,-1.8603215784714018,1.901042160660674,1.8531612709562864,1.671255918291608,31,43.875,176,175,0.5779893068723418
50,24,0.75,4,3,2.0,8,8,1.0,33.39692000000016,337,4.17461500000002,3.9680450000000755,1.1810700000000063,-1.6964679465532941,2.145096915999541,2.0164289036604433,1.3446276578671597,32,42.125,172,165,0.5777960623818975
60,28,0.75,4,3,2.2,8,8,1.0,34.394588000000326,347,4.299323500000041,4.873276000000093,1.7752860000000092,-1.9892544672442158,1.9896177980396006,2.0079872883811722,1.477138917781376,35,43.375,166,181,0.5775998792770153
50,24,0.75,4,3,2.4,8,8,1.0,34.50929600000021,336,4.3136620000000265,4.737129000000095,1.4423979999999892,-1.7070355679304146,2.0082131421617766,2.1225357183753184,1.3915676027852697,32,42.0,171,165,0.5769480433798483
50,28,0.75,4,3,2.0,8,8,1.0,32.625470000000206,351,4.078183750000026,3.4727500000000022,1.7173899999999964,-1.8118257455868179,2.002634587402512,1.8477466370170152,1.4743686418791364,31,43.875,176,175,0.5723928588173577
55,24,0.75,4,3,2.2,8,8,1.0,33.259980000000255,338,4.157497500000032,4.831653000000092,1.352985999999956,-1.892806371084476,2.0105873194246384,2.1736102625531197,1.3241282823418887,34,42.25,170,168,0.5687553904094861
55,24,0.8,4,3,2.2,8,8,1.0,25.41548000000018,235,3.1769350000000225,2.88061200000006,1.7815260000000332,-1.6856801295075645,2.3426341631538063,2.050403878742046,1.6039808247786205,20,29.375,120,115,0.568170590501298
50,24,0.75,3,3,2.2,8,8,1.0,32.24134400000016,321,4.03016800000002,4.0873360000000964,0.6383239999999457,-1.7395175883447893,2.0873406174140516,2.0609959432938894,1.1583058464071858,30,40.125,164,157,0.5629067167852667
