ema_period,lookback_bars,min_close_ratio,left_bars,right_bars,rr_target,total_periods,positive_periods,positive_ratio,total_return_sum,total_trades_sum,avg_quarter_return,median_quarter_return,min_quarter_return,max_quarter_drawdown_worst,avg_profit_factor,median_profit_factor,min_profit_factor,min_trades_per_period,avg_trades_per_period,long_trades_total,short_trades_total,plateau_score
50,24,0.75,4,3,2.0,8,8,1.0,40.13692000000015,337,5.017115000000019,4.839765000000007,1.9610700000000092,-1.5814184055366725,2.508408855482327,2.3541982762648495,1.6478400047570303,32,42.125,172,165,0.6334269509367142
50,28,0.75,4,3,2.2,8,8,1.0,41.59209400000026,351,5.199011750000032,4.794411999999982,2.860877999999989,-1.7204504990795189,2.3433194146536174,2.3120653325555622,1.8512412576323125,31,43.875,176,175,0.6326133685425758
50,28,0.75,4,3,2.4,8,8,1.0,40.45695200000019,351,5.057119000000024,4.760573000000012,3.4183859999999733,-1.712714973362842,2.203265677523332,2.1569633611252743,1.9840039942211278,31,43.875,176,175,0.6309598687781975
50,24,0.75,4,3,2.2,8,8,1.0,42.65266000000018,337,5.331582500000023,5.419577000000109,1.7668939999999633,-1.5551323736212292,2.531147353938856,2.4720595370880956,1.544723999198429,32,42.125,172,165,0.6305706657967737
50,28,0.75,4,3,2.0,8,8,1.0,39.6454700000002,351,4.955683750000025,4.391909999999988,2.5773899999999905,-1.728256217264728,2.341768680579194,2.190465577951482,1.8104057075120077,31,43.875,176,175,0.6295338937431171
60,28,0.75,4,3,2.2,8,8,1.0,41.33458800000027,347,5.166823500000033,5.686025000000039,2.6152860000000056,-1.8814286880032376,2.3195749741413874,2.243235757779815,1.792345236905005,35,43.375,166,181,0.6282654147432534
50,24,0.75,4,3,2.4,8,8,1.0,41.229296000000225,336,5.153662000000028,5.517129000000088,2.222397999999992,-1.6622385234681303,2.3242944537787507,2.4365869149749044,1.6851534536710044,32,42.0,171,165,0.625309668218437
55,24,0.75,4,3,2.2,8,8,1.0,40.01998000000029,338,5.002497500000036,5.65165300000009,2.23298599999997,-1.719668034944588,2.3375617856202506,2.4461253404627104,1.6011975564248782,34,42.25,170,168,0.6223276513632847
55,24,0.8,4,3,2.2,8,8,1.0,30.115480000000172,235,3.7644350000000215,3.330612000000066,2.496449999999939,-1.6296767164871546,2.7525949941548884,2.3026227689515553,1.9815629742033434,20,29.375,120,115,0.621676935093443
60,28,0.75,4,3,2.0,8,8,1.0,38.93031000000031,347,4.866288750000039,5.262255000000094,2.0774700000000035,-1.92470410562499,2.3050799406079103,2.2632305918935494,1.6294047608227262,35,43.375,166,181,0.6167953294351808
50,24,0.75,3,3,2.2,8,8,1.0,38.661344000000206,321,4.832668000000026,4.8373360000001036,1.4383239999999464,-1.5551323736212292,2.427054610630855,2.37701142091659,1.4026414946447803,30,40.125,164,157,0.6146627684492285
60,28,0.75,3,3,2.2,8,8,1.0,38.10617400000036,332,4.763271750000045,5.424741000000055,2.1071520000000232,-1.5802287180100745,2.2708028198513874,2.2134864850023113,1.638397425992743,33,41.5,159,173,0.6140730469422301
55,28,0.75,4,3,2.2,8,8,1.0,38.2446580000003,349,4.7805822500000374,4.8254320000000295,2.6408079999999945,-1.8886336933387018,2.179204962319832,2.1659932210367634,1.759354745952784,33,43.625,172,177,0.6133087369874106
50,28,0.75,3,3,2.4,8,8,1.0,38.52030400000026,335,4.815038000000032,5.002868999999954,2.5354879999999858,-1.712714973362842,2.180274814106299,2.2906730215701723,1.7042474474207414,29,41.875,169,166,0.6130712037353313
50,24,0.75,3,3,2.4,8,8,1.0,38.67889600000025,320,4.834862000000031,5.395578000000101,1.8938279999999752,-1.7986031940605465,2.3137143871697106,2.512849275440451,1.5301543577942975,30,40.0,163,157,0.6129447376999556
55,24,0.75,4,3,2.0,8,8,1.0,37.19956000000031,338,4.649945000000039,5.169415000000043,2.3420100000000055,-1.7275211518145015,2.2912184679579166,2.391537579780496,1.6695914708934654,34,42.25,170,168,0.6122053264745632
60,28,0.75,4,3,2.4,8,8,1.0,39.59166200000017,347,4.948957750000021,4.920857000000034,1.9530059999999905,-1.8383570916250653,2.216465321984756,2.08114692882645,1.4881721720220455,35,43.375,166,181,0.6096271000219949
50,28,0.75,3,3,2.2,8,8,1.0,38.16338400000028,335,4.770423000000035,4.493092000000043,2.0241739999999897,-1.7204504990795189,2.248582639700917,2.2367648817906556,1.5622268268023543,29,41.875,169,166,0.6094286425617434
60,24,0.75,4,3,2.2,8,8,1.0,38.57755200000044,335,4.822194000000055,5.295952000000048,1.7938119999999946,-1.8695821021048264,2.238143559125251,2.2660591355181494,1.5416687804229876,35,41.875,162,173,0.6088918386626596
50,24,0.8,4,3,2.2,8,8,1.0,30.684484000000012,228,3.8355605000000015,4.069922000000048,1.5591639999999796,-1.3319985376546928,2.7417280362278857,2.8828358311399294,1.6916890698891802,19,28.5,113,115,0.608160786918688
50,24,0.75,3,3,2.0,8,8,1.0,36.28138000000016,321,4.53517250000002,4.607415000000015,1.6324999999999923,-1.5814184055366725,2.405340242602387,2.2778487533606104,1.4864914800665,30,40.125,164,157,0.6078747543050965
50,20,0.75,4,3,2.2,8,8,1.0,37.85695000000004,321,4.732118750000005,5.128054000000071,1.2805359999999766,-1.8540397726056317,2.3881423404882045,2.549108732263145,1.3594043121691592,30,40.125,164,157,0.6064766531481486
55,24,0.8,4,3,2.0,8,8,1.0,27.642800000000122,235,3.4553500000000152,3.071730000000028,2.2708599999999857,-1.6550854363127743,2.694038425080691,2.258682644942515,1.8768137765936923,20,29.375,120,115,0.6051595451362188
50,24,0.75,4,4,2.2,8,8,1.0,33.449884000000026,274,4.181235500000003,3.992474000000046,1.7875859999999744,-1.5346648824065965,2.4659030575464467,2.443237652052413,1.5825734984992283,28,34.25,153,121,0.6043618334052586
60,28,0.75,3,3,2.4,8,8,1.0,37.83787600000019,332,4.729734500000024,4.83463600000007,1.7958059999999998,-1.7156151621409055,2.2234615911770943,2.113383666420087,1.4488785572344491,33,41.5,159,173,0.6024421810375289
55,24,0.75,3,3,2.2,8,8,1.0,37.13361400000026,325,4.641701750000032,5.3003870000001285,1.7248519999999656,-1.8157975495685996,2.2735884458532203,2.366543934144467,1.4643901966221746,32,40.625,164,161,0.6024270949097059
50,20,0.8,4,3,2.2,8,8,1.0,32.575992000000056,259,4.071999000000007,4.10448400000003,1.3348640000000023,-1.9108463933053748,2.559214527306354,2.55305825393216,1.5385904036409983,23,32.375,124,135,0.602110080544431
55,24,0.75,4,3,2.4,8,8,1.0,38.13129000000022,338,4.7664112500000275,5.511878000000047,2.0090820000000065,-2.0767743812643356,2.199966098509048,2.4020846184821103,1.469772792637329,34,42.25,170,168,0.6013976822246246
60,28,0.75,3,3,2.0,8,8,1.0,36.090910000000264,332,4.511363750000033,5.10279000000009,1.6155299999999873,-1.5869276720095575,2.2724238025702705,2.142297618790045,1.4894522054479413,33,41.5,159,173,0.6006055524863844
50,28,0.75,3,3,2.0,8,8,1.0,36.30139000000023,335,4.537673750000029,4.633694999999993,1.7868799999999796,-1.728256217264728,2.2483316855295805,2.1434147590639183,1.5092364075760645,29,41.875,169,166,0.6002749719931988
50,24,0.75,4,4,2.0,8,8,1.0,32.72667999999999,274,4.0908349999999984,4.118675000000005,1.3807200000000242,-1.5389204455673453,2.5406893629617904,2.558444962756291,1.4454797702781277,28,34.25,153,121,0.5998841067313779
55,28,0.75,4,3,2.0,8,8,1.0,36.10003000000028,349,4.512503750000035,4.6457250000000005,2.3586000000000107,-1.9320923425226253,2.169740420288346,2.1878953609690384,1.6412015194082799,33,43.625,172,177,0.5998497325781365
55,20,0.8,4,3,2.2,8,8,1.0,31.083950000000257,267,3.885493750000032,3.940822000000077,1.9647879999999507,-1.9108463933053748,2.399475807565336,2.3314225965353907,1.756624742950869,23,33.375,134,133,0.5972493606297756
60,24,0.75,4,3,2.0,8,8,1.0,35.82794000000034,335,4.478492500000042,4.916955000000012,1.7053399999999996,-1.9133862556683472,2.203248612364472,2.190044145735812,1.5351899624029373,35,41.875,162,173,0.5963578728360005
