combo_id,is_baseline,ema_period,stoch_k,pivot_left,pivot_right,rr,setup_max_bars,total_return,trade_count,win_rate,profit_factor,max_drawdown,avg_hold_bars
0,False,45,9,2,2,1.5,8,-0.2757,1,0.0,0.0,-0.5189,27.0
1,False,45,9,2,2,1.5,12,-0.2757,1,0.0,0.0,-0.5189,27.0
2,False,45,9,2,2,1.5,16,-0.2757,1,0.0,0.0,-0.5189,27.0
3,False,45,9,2,2,2.0,8,-0.2757,1,0.0,0.0,-0.5189,27.0
4,False,45,9,2,2,2.0,12,-0.2757,1,0.0,0.0,-0.5189,27.0
5,False,45,9,2,2,2.0,16,-0.2757,1,0.0,0.0,-0.5189,27.0
6,False,45,9,2,2,2.5,8,-0.2757,1,0.0,0.0,-0.5189,27.0
7,False,45,9,2,2,2.5,12,-0.2757,1,0.0,0.0,-0.5189,27.0
8,False,45,9,2,2,2.5,16,-0.2757,1,0.0,0.0,-0.5189,27.0
9,False,45,9,2,3,1.5,8,0.0976,4,0.75,1.354,-0.544,8.5
10,False,45,9,2,3,1.5,12,0.0976,4,0.75,1.354,-0.544,8.5
11,False,45,9,2,3,1.5,16,0.0976,4,0.75,1.354,-0.544,8.5
12,False,45,9,2,3,2.0,8,0.222,4,0.75,1.8054,-0.544,8.8
13,False,45,9,2,3,2.0,12,0.222,4,0.75,1.8054,-0.544,8.8
14,False,45,9,2,3,2.0,16,0.222,4,0.75,1.8054,-0.544,8.8
15,False,45,9,2,3,2.5,8,-0.0466,4,0.5,0.88,-0.544,9.8
16,False,45,9,2,3,2.5,12,-0.0466,4,0.5,0.88,-0.544,9.8
17,False,45,9,2,3,2.5,16,-0.0466,4,0.5,0.88,-0.544,9.8
18,False,45,9,2,4,1.5,8,0.0976,4,0.75,1.354,-0.5189,8.0
19,False,45,9,2,4,1.5,12,0.0976,4,0.75,1.354,-0.5189,8.0
20,False,45,9,2,4,1.5,16,0.0976,4,0.75,1.354,-0.5189,8.0
21,False,45,9,2,4,2.0,8,-0.1149,4,0.5,0.704,-0.5189,8.5
22,False,45,9,2,4,2.0,12,-0.1149,4,0.5,0.704,-0.5189,8.5
23,False,45,9,2,4,2.0,16,-0.1149,4,0.5,0.704,-0.5189,8.5
24,False,45,9,2,4,2.5,8,-0.0466,4,0.5,0.88,-0.5189,9.0
25,False,45,9,2,4,2.5,12,-0.0466,4,0.5,0.88,-0.5189,9.0
26,False,45,9,2,4,2.5,16,-0.0466,4,0.5,0.88,-0.5189,9.0
27,False,45,9,2,5,1.5,8,-0.2259,2,0.5,0.3355,-0.3395,2.5
28,False,45,9,2,5,1.5,12,-0.2259,2,0.5,0.3355,-0.3395,2.5
29,False,45,9,2,5,1.5,16,-0.2259,2,0.5,0.3355,-0.3395,2.5
30,False,45,9,2,5,2.0,8,-0.1878,2,0.5,0.4474,-0.3394,3.0
31,False,45,9,2,5,2.0,12,-0.1878,2,0.5,0.4474,-0.3394,3.0
32,False,45,9,2,5,2.0,16,-0.1878,2,0.5,0.4474,-0.3394,3.0
33,False,45,9,2,5,2.5,8,-0.1498,2,0.5,0.5592,-0.3393,3.5
34,False,45,9,2,5,2.5,12,-0.1498,2,0.5,0.5592,-0.3393,3.5
35,False,45,9,2,5,2.5,16,-0.1498,2,0.5,0.5592,-0.3393,3.5
36,False,45,9,3,2,1.5,8,-0.6156,2,0.0,0.0,-0.858,16.5
37,False,45,9,3,2,1.5,12,-0.6156,2,0.0,0.0,-0.858,16.5
38,False,45,9,3,2,1.5,16,-0.6156,2,0.0,0.0,-0.858,16.5
39,False,45,9,3,2,2.0,8,-0.6156,2,0.0,0.0,-0.858,16.5
40,False,45,9,3,2,2.0,12,-0.6156,2,0.0,0.0,-0.858,16.5
41,False,45,9,3,2,2.0,16,-0.6156,2,0.0,0.0,-0.858,16.5
42,False,45,9,3,2,2.5,8,-0.6156,2,0.0,0.0,-0.858,16.5
43,False,45,9,3,2,2.5,12,-0.6156,2,0.0,0.0,-0.858,16.5
44,False,45,9,3,2,2.5,16,-0.6156,2,0.0,0.0,-0.858,16.5
45,False,45,9,3,3,1.5,8,-0.2423,5,0.6,0.6064,-0.6536,8.0
46,False,45,9,3,3,1.5,12,-0.2423,5,0.6,0.6064,-0.6536,8.0
47,False,45,9,3,3,1.5,16,-0.2423,5,0.6,0.6064,-0.6536,8.0
48,False,45,9,3,3,2.0,8,-0.1179,5,0.6,0.8085,-0.5855,8.2
49,False,45,9,3,3,2.0,12,-0.1179,5,0.6,0.8085,-0.5855,8.2
