candidate_name,source_trial,cost_mode,full_total_trades,min_trades_per_period,positive_ratio,min_profit_factor,validation_score,risk_flag
current_baseline,fixed,no-cost,206,20,0.625,0.6590673604692348,0.36651981735708933,QUARTER_UNSTABLE
current_baseline,fixed,cost,206,20,0.625,0.5459423799323256,0.3340562441512617,COST_FRAGILE; QUARTER_UNSTABLE
pivot_wide_9_35,fixed,no-cost,188,18,0.875,0.943112968639937,0.44538487136715993,QUARTER_UNSTABLE
pivot_wide_9_35,fixed,cost,188,18,0.875,0.7565878122952462,0.4081719946967166,QUARTER_UNSTABLE
tpe_trial_9,9,no-cost,55,2,0.875,0.09954662766691011,-9999.0,LOW_TRADE_COUNT; QUARTER_UNSTABLE
tpe_trial_9,9,cost,55,2,0.875,0.07330935833199918,-9999.0,LOW_TRADE_COUNT; QUARTER_UNSTABLE
tpe_trial_251,251,no-cost,148,13,0.875,0.8473157898788692,0.5481470892005516,QUARTER_UNSTABLE
tpe_trial_251,251,cost,148,13,0.875,0.7497249732330391,0.5186447901211976,QUARTER_UNSTABLE
tpe_trial_199,199,cost,147,13,0.875,0.9002321286851801,0.5323027374015875,QUARTER_UNSTABLE
tpe_trial_302,302,no-cost,178,18,0.875,0.7954137485000807,0.5659448724835191,QUARTER_UNSTABLE
tpe_trial_302,302,cost,178,18,0.875,0.7015531463434708,0.5378578957638629,QUARTER_UNSTABLE
tpe_trial_267,267,no-cost,146,13,0.875,0.81242409598548,0.5363719461125981,QUARTER_UNSTABLE
tpe_trial_267,267,cost,146,13,0.875,0.7174348745115531,0.5114258336006485,QUARTER_UNSTABLE
tpe_trial_400,400,cost,158,14,0.875,0.9122132597096793,0.529405536412378,QUARTER_UNSTABLE
tpe_trial_292,292,cost,138,13,0.875,0.9427806843533412,0.5250537505572962,QUARTER_UNSTABLE
tpe_trial_329,329,no-cost,179,16,0.875,0.657561545165863,0.545992145082352,QUARTER_UNSTABLE
tpe_trial_329,329,cost,179,16,0.875,0.5794973594590177,0.516443228189074,QUARTER_UNSTABLE
