number,value,datetime_start,datetime_complete,duration,params_d_period,params_ema_period,params_k_period,params_left_bars,params_max_separation,params_min_close_ratio,params_min_separation,params_overbought,params_oversold,params_right_bars,params_rr_target,user_attrs_avg_profit_factor,user_attrs_avg_quarter_return,user_attrs_full_total_trades,user_attrs_max_drawdown_pct,user_attrs_max_quarter_drawdown_worst,user_attrs_min_profit_factor,user_attrs_min_trades_per_period,user_attrs_positive_ratio,user_attrs_profit_factor,user_attrs_q_2024-Q1_drawdown,user_attrs_q_2024-Q1_pf,user_attrs_q_2024-Q1_return,user_attrs_q_2024-Q1_trades,user_attrs_q_2024-Q2_drawdown,user_attrs_q_2024-Q2_pf,user_attrs_q_2024-Q2_return,user_attrs_q_2024-Q2_trades,user_attrs_q_2024-Q3_drawdown,user_attrs_q_2024-Q3_pf,user_attrs_q_2024-Q3_return,user_attrs_q_2024-Q3_trades,user_attrs_q_2024-Q4_drawdown,user_attrs_q_2024-Q4_pf,user_attrs_q_2024-Q4_return,user_attrs_q_2024-Q4_trades,user_attrs_q_2025-Q1_drawdown,user_attrs_q_2025-Q1_pf,user_attrs_q_2025-Q1_return,user_attrs_q_2025-Q1_trades,user_attrs_q_2025-Q2_drawdown,user_attrs_q_2025-Q2_pf,user_attrs_q_2025-Q2_return,user_attrs_q_2025-Q2_trades,user_attrs_total_return_pct,user_attrs_total_trades,user_attrs_win_rate,state
0,-9999.0,2026-04-28 13:02:15.063618,2026-04-28 13:02:22.656900,0 days 00:00:07.593282,2,51,12,6,35,0.95,10,82,12,5,2.52,1.4777292502489077,-0.09588282660734453,49,-2.2321376626440625,-1.4420956006374814,0.2813046688628733,4,0.3333333333333333,0.9016484957114405,-1.375990415446878,0.4564951575501383,-0.796886799999974,12,-0.8789657304342967,0.7896674554739178,-0.32344186553210363,12,-0.5654946240765313,0.5462996499943764,-0.20319238532526818,4,-0.9613468719807051,1.9560082046485943,0.9115572539176053,7,-1.4420956006374814,0.2813046688628733,-1.0165286333867152,7,-0.28658325011408037,4.836600364963545,0.8531954706823885,7,-0.5904207999999689,49,0.3877551020408163,COMPLETE
1,-9999.0,2026-04-28 13:02:22.665576,2026-04-28 13:02:30.308221,0 days 00:00:07.642645,3,46,13,5,43,0.85,11,80,11,4,2.74,1.9356218737940154,0.6259349590494437,84,-2.9787683922985857,-2.28459254187544,0.26482506266044603,12,0.6666666666666666,1.3570871249946403,-2.28459254187544,0.26482506266044603,-1.9388253999999772,17,-1.892966302136609,1.4231340921082565,0.6297183391070771,14,-0.5558550488650044,2.852812319836758,1.6935396132634173,13,-0.8176757312809131,4.592664648396117,2.696274779748986,12,-2.068924142659898,0.6686121552746075,-0.8845343745373713,14,-1.7766066090208392,1.811682964487909,1.5594367967145306,14,3.736863200000129,84,0.44047619047619047,COMPLETE
2,-9999.0,2026-04-28 13:02:30.313056,2026-04-28 13:02:37.943779,0 days 00:00:07.630723,2,59,12,6,40,0.85,11,90,12,3,2.4400000000000004,1.245504919001298,0.3614633002658944,96,-2.4814817073934714,-1.9864519139575973,0.6387180216031632,9,0.5,1.1534254004288087,-1.305534260878221,1.613006052454603,1.4584640000000038,18,-1.9864519139575973,0.7655138113696184,-0.5855125108142567,18,-1.0394391264502572,0.6387180216031632,-0.4032312209385047,9,-1.2058510665714572,2.341714865901722,2.3151723672035995,19,-1.8427924529905597,0.7027267247496112,-1.300308384235782,20,-1.9152620526412787,1.4113500379290693,0.6841955503803065,12,2.1410576000000514,96,0.3854166666666667,COMPLETE
3,-9999.0,2026-04-28 13:02:37.948830,2026-04-28 13:02:46.767307,0 days 00:00:08.818477,3,51,13,7,35,0.8,15,87,10,4,2.56,0.8680220727561947,-0.37340478905987423,72,-4.053289541904878,-2.5379224582656152,0.10392133854538067,11,0.5,0.7835707499278588,-0.9746169176982842,1.068873413239215,0.06418520000004424,11,-1.3649286487689316,0.6535611003292195,-0.522693707998112,13,-1.4544089475574333,0.5638225135286895,-0.6939453264939166,11,-1.5166046985737436,1.6146629005643192,1.0588886388544827,13,-2.5379224582656152,0.10392133854538067,-2.537922458265618,11,-1.9394496118177322,1.2032911703303444,0.39105891954387406,13,-2.2574587999999673,72,0.375,COMPLETE
4,-9999.0,2026-04-28 13:02:46.772607,2026-04-28 13:02:54.403194,0 days 00:00:07.630587,2,47,13,5,53,0.9,11,89,15,5,2.56,1.3909199427289958,0.30560755188299704,76,-2.59096608908286,-2.3131401523394035,0.11755039379522123,7,0.6666666666666666,1.2102638492155111,-0.9690009072165332,1.5493063477461215,0.6269508000000368,14,-0.8699503227573531,1.5386562710672294,0.9131418498671495,18,-1.024887641664189,0.4070641545913224,-0.5798631730155823,7,-0.5469993673412497,3.6178567063306475,2.885225457809515,14,-2.3131401523394035,0.11755039379522123,-2.1250359714662714,12,-0.9175282408753843,1.1150857828434335,0.11322634810313481,11,1.7776652000000892,76,0.42105263157894735,COMPLETE
5,-9999.0,2026-04-28 13:02:54.408152,2026-04-28 13:03:02.050746,0 days 00:00:07.642594,2,51,12,6,36,0.85,11,80,10,3,2.7,1.0485285147721817,-0.18030511414913555,111,-3.819410753696512,-3.139536695379255,0.12686777942252406,14,0.5,0.9273553982591669,-3.139536695379255,0.12686777942252406,-3.0789960000000005,21,-2.0092052004914014,0.9730449772763122,-0.07276028630486264,21,-0.6915825093154435,1.1851251358297221,0.22164060635976313,14,-1.2558824304322647,1.6650870160610065,1.511091355306693,19,-2.624780209240781,0.866790225310557,-0.5817355350151154,22,-2.1313730029821643,1.474255954732969,0.9189291747587092,14,-1.1411369999999144,111,0.3333333333333333,COMPLETE
6,-9999.0,2026-04-28 13:03:02.055587,2026-04-28 13:03:09.632000,0 days 00:00:07.576413,2,40,14,6,40,0.85,16,83,11,4,2.56,1.39822533848843,0.3278818589271056,50,-1.6089890752138944,-1.2326934158726286,0.22559465991482522,6,0.8333333333333334,1.3633011551231549,-0.4996572555411376,1.624182849732616,0.385058400000049,9,-0.8873517855434329,2.534432911727479,1.616988848611367,12,-0.5945216419129185,1.0653826125181574,0.03790986616598602,6,-1.0001650625042557,1.8799385387898697,0.8586232559115503,8,-1.2326934158726286,0.22559465991482522,-0.98065523913905,7,-0.5692892801381066,1.0598204582476318,0.049366022012731214,8,1.9641332000000622,50,0.44,COMPLETE
7,-9999.0,2026-04-28 13:03:09.636787,2026-04-28 13:03:17.224250,0 days 00:00:07.587463,2,56,12,7,40,0.8,17,89,11,3,2.68,1.5632044559529523,0.4861967970079373,70,-2.275065631285799,-1.315409359431881,0.4603040130038516,9,0.5,1.339555816419713,-1.315409359431881,1.2455110997436607,0.42235520000000193,13,-0.8320264262762442,0.4603040130038516,-0.6678648381271635,11,-1.0389304001745219,1.2365772833049415,0.288420235123521,10,-1.2010511254159673,4.62143345017644,3.2117798066660708,14,-1.2013004142529624,0.881913270053954,-0.2580875151999229,13,-0.7321378391997885,0.9334876194348652,-0.07942210641488368,9,2.904142799999998,70,0.38571428571428573,COMPLETE
8,-9999.0,2026-04-28 13:03:17.229282,2026-04-28 13:03:24.727079,0 days 00:00:07.497797,2,38,14,7,50,0.85,16,87,12,5,2.66,1.7230772925361049,0.3259897727818188,60,-1.8895723180634456,-1.7238004326563736,0.32971812662618816,7,0.5,1.2989622310238906,-0.35896293242652855,3.787764454976392,1.1764366000000637,9,-0.94628236864981,1.508852964341763,0.8875869028184269,15,-0.8274265208388327,0.8207800963081898,-0.13126181898182043,7,-0.5415624943881271,3.034668992803461,1.2813524051602077,7,-1.7238004326563736,0.32971812662618816,-1.0778866811482213,10,-0.5504376474419986,0.8566791201606357,-0.1802887711577439,12,1.9496792000000207,60,0.4166666666666667,COMPLETE
9,-9999.0,2026-04-28 13:03:24.731758,2026-04-28 13:03:32.332053,0 days 00:00:07.600295,3,32,10,7,59,0.9,14,84,12,4,2.56,3.5154266019822145,1.2400379307286584,41,-0.9607794949533421,-0.8724637237366747,0.8526761168824036,3,0.8333333333333334,3.4770003474375444,-0.22010827760963816,3.383446160139124,0.2330772000000092,3,-0.7249905024869957,5.0,3.6655699920983276,10,-0.5948899512779805,3.7827829002514473,1.0224077773835827,7,-0.8724637237366747,3.3895022988684036,1.4704710640551122,7,-0.7754517950919999,0.8526761168824036,-0.13514094485109762,8,-0.5917884390888428,4.684152135751905,1.183842495686016,6,7.628393199999928,41,0.6341463414634146,COMPLETE
