rank,trial_id,score,k_period,d_period,smooth,oversold,overbought,left_bars,right_bars,min_separation,max_separation,ema_period,min_close_ratio,rr_target,total_trades,profit_factor,win_rate,expectancy_R,max_drawdown_pct,total_return,quarterly_positive_ratio,val_total_return,val_profit_factor,nocost_total_return,q_2024-Q1_return,q_2024-Q1_trades,q_2024-Q1_pf,q_2024-Q2_return,q_2024-Q2_trades,q_2024-Q2_pf,q_2024-Q3_return,q_2024-Q3_trades,q_2024-Q3_pf,q_2024-Q4_return,q_2024-Q4_trades,q_2024-Q4_pf,q_2025-Q1_return,q_2025-Q1_trades,q_2025-Q1_pf,q_2025-Q2_return,q_2025-Q2_trades,q_2025-Q2_pf
1,9,0.900748966313966,11,2,1,12,88,6,4,14,49,33,0.90165154932049,2.578684483831301,39,5.0,0.6923076923076923,1.2628050660381096,-1.0154255829111725,11.047567743562038,1.0,0.8010681864693225,1.5223687743111163,11.827567743562039,0.12739581735079497,2,2.10175402015736,4.305711219650266,9,5.0,0.20201678265554524,4,1.6616391246922666,0.6604019450424659,6,1.877062659172452,2.167002811340568,8,5.0,3.181601681747459,10,5.0
2,421,0.7826129382256528,21,5,3,15,77,6,5,15,31,86,0.5434366848234952,3.2682444920924563,121,3.3062376300677623,0.5289256198347108,1.0905625958050653,-1.6446203365424696,32.96845104261293,1.0,1.3130040999032255,1.778745648055044,35.38845104261288,3.6310847387303724,17,3.718386478555387,5.025378524581803,23,3.2344592943112964,0.9991808475835695,17,1.6280886622469257,6.2390909220055635,23,2.63316871074821,10.39627482123393,25,5.0,3.1353849479804907,16,2.7309905010179443
3,251,0.7758102870468706,16,5,3,17,80,6,5,15,30,85,0.6526279589638347,3.4365782359238444,114,3.2613474353470684,0.5087719298245614,1.0812966384370815,-1.9410127086011943,31.133168656563814,1.0,2.2307987726622347,2.7011337639261623,33.41316865656378,2.1679407426825392,13,3.0148335418382364,4.860761105053846,24,3.0221672844248424,2.9254104448554363,18,2.594002397613597,5.363112861401675,26,2.262325918381496,10.313624198574512,19,5.0,2.316236328756327,14,2.65056709026704
4,199,0.7655053408355253,20,5,3,16,75,6,5,15,30,88,0.6197021164080276,3.275916253980206,116,3.463413634673677,0.5086206896551724,1.0103678165341698,-1.7959476430682242,34.01710644225431,1.0,0.9868144289411962,1.5852818296854638,36.33710644225437,2.5440235982463033,13,3.271145470023049,4.65809313663379,22,3.1793725163492104,2.5994917617415014,18,2.4640266737139656,5.708040591363228,23,2.4638237677697115,11.515412307410045,23,5.0,3.2497332524885403,17,2.739015327417837
5,302,0.7637015972968714,17,5,3,16,82,6,5,15,31,73,0.5600526430552384,3.2573822869071165,138,3.0969266616378657,0.5289855072463768,1.0679651655600237,-1.9223809088381634,33.044146196954195,1.0,1.1314913096018397,1.5179184733769213,35.80414619695418,4.311864955787192,18,4.849363885004004,3.9295294651424895,28,2.280150617774636,1.9085207069445165,22,1.7397365560347042,3.4748080308228735,25,1.8229536404792541,12.194607433206684,26,5.0,3.730384938520892,19,3.184538261359188
6,267,0.7629740877066926,17,5,3,16,81,6,5,15,31,83,0.6484774259511714,3.295063068520097,114,3.214795785303463,0.5175438596491229,1.0417033732771603,-1.7127855902714213,29.49454621267542,1.0,1.2567874675811996,1.9583847818914535,31.774546212675435,3.2890487393853363,14,5.0,4.998921623485986,23,3.320570325850041,1.6844757791564913,20,1.6829361482303968,4.351558497354624,24,2.1096464259855394,10.000275597968589,18,5.0,2.297493957626018,15,2.6170489804645194
7,400,0.762490950933596,21,5,3,15,76,6,5,15,32,84,0.5759634175620162,3.0822306830064248,125,3.1264518865414916,0.544,1.0534499756089157,-1.6444393460255544,31.55499368639847,1.0,0.9318412253663366,1.5526771005405127,34.05499368639846,4.4498029082412405,17,5.0,4.013655794300974,24,2.4443900878442184,1.3850304815084646,19,1.8115096970787326,5.306739437901031,21,2.426532543444065,10.139864153265155,27,5.0,2.9757144232612998,17,2.6278960681123142
8,292,0.7539207921077182,21,5,3,16,78,6,5,15,30,83,0.6128870443666429,3.12473553840869,109,3.3144008631840607,0.5229357798165137,0.9934646964512417,-1.6397766644762062,29.85975190455903,1.0,0.6496137798162493,1.3852873757102375,32.03975190455903,3.522714713003472,13,5.0,4.951414736891024,22,3.4759157951239876,1.6952423164835917,18,1.8417105413883068,3.4979754287000286,20,1.9461891949253654,9.815070160170958,20,5.0,3.408487546254557,16,3.2022833925891425
9,262,0.7444676575005099,16,5,3,14,82,6,5,15,30,77,0.687832011474867,3.4312012328416728,90,2.88979918699713,0.5,1.0339570092371,-1.7015674367461018,21.275869492994136,1.0,1.6129728640241314,2.4157329494997826,23.075869492994116,2.9293817541445666,12,3.9555680873989534,2.4336288773304293,20,2.123730617881837,0.5134095622175705,16,1.2855476279023765,3.148833949501051,14,2.028622688213143,8.35633041810031,16,5.0,2.3881880486411378,12,2.8460264602285146
10,477,0.7373590812005686,21,5,3,18,77,6,5,15,31,64,0.5063535569369809,3.1831289577647306,147,2.9837886801814366,0.5238095238095238,1.0028614935350235,-2.1148001448350686,33.81667357459963,1.0,0.9224755633520543,1.4533316772252152,36.75667357459964,5.92990573507941,21,5.0,4.343637219788787,28,2.448502237471725,2.8462050682600104,24,2.220123581930759,3.072573398149525,32,1.5983228014154613,10.566660116408254,25,5.0,3.292809788789408,17,3.0530962576229865
